Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T07_2_060,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000145198,68,0,1,6,0,0,0,38,4,0,20,23,29,0,115,5,5,3,5,80,1,67,45,7,11,607,25,112,36,139,2,834,12,0,6,1,29,14,171,0,24,602,9,5,25,104,358,166,17,52,265,160,226,6,97,35,30,126
ENSG00000123243,365,33,18,48,135,0,26,186,19,84,50,239,158,103,45,1,33,52,95,48,30,9,68,14,58,483,138,16,19,383,26,21,35,204,75,3,145,596,13,63,39,19,15,212,272,72,654,288,57,18,867,428,344,182,773,84,63,85
ENSG00000177992,6,0,0,0,0,0,0,0,0,0,7,7,0,0,5,4,1,6,2,0,0,0,0,0,1,39,1,12,49,9,0,0,0,0,0,0,11,17,0,0,20,4,0,8,32,2,40,4,6,3,11,14,26,4,40,2,0,11
ENSG00000171490,993,202,501,1130,469,515,481,226,405,810,1000,487,956,702,314,680,343,727,688,1205,437,289,485,425,237,256,778,1017,571,203,858,171,461,231,357,310,515,259,327,169,867,378,441,331,190,293,188,477,406,274,536,420,351,534,409,257,312,359
ENSG00000174123,1,0,9,5,0,0,0,214,32,0,0,14,18,0,3,1,0,8,1,7,3,0,2,6,23,16,35,3,5,15,20,0,3,0,220,0,3,0,0,13,2,8,0,9,17,2,6,12,0,50,68,26,11,516,6,3,19,71
ENSG00000143369,1209,20,74,88,154,0,14,174,203,215,77,61,0,365,359,29,532,51,82,22,53,149,84,328,53,17,267,82,39,4,109,2,93,0,31,18,48,63,20,25,149,9,7,39,110,63,23,138,161,30,82,30,214,27,148,41,136,267
ENSG00000114391,1398,346,1280.99,1527,871,551,537,586,516,1394,1434,842.27,1480,970,669,1009.99,485,1247.98,1020.99,1879,487,433,1026,1317.98,216,402,1213,1700,897.97,592,1090,499,448,326.03,742,696.03,645.01,401,561,252,1194.99,618,557,424,167.99,299.96,260,955,582,409,616,533,425,949,422,528,231,424
ENSG00000078549,50,13,0,5,318,0,15,0,0,1595,52,797,43,63,149,181,1,7,89,10,11,176,121,61,30,6077,51,916,2323,2183,51,0,34,154,128,16,0,1507,20,28,160,149,1,14,271,629,1153,462,10,486,4051,3295,3728,10,3309,5646,966,845
ENSG00000166823,39,64,15,5,41,0,27,0,1,50,12,2,0,0,34,39,37,6,10,34,8,13,163,23,21,183,79,17,199,0,15,61,7,0,13,5,2,35,45,45,8,646,165,1,15,293,196,26,0,909,126,437,19,43,251,389,11,58
ENSG00000107223,409,93,368,432,236,46,175,123,486,241,492,194,195,177,99,309,102,264,216,245,120,211,275,229,181,126,250,277,213,95,284,76,185,8,151,49,254,204,133,115,417,101,169,67,61,148,69,160,199,194,155,113,80,175,181,118,184,134
ENSG00000108107,1449,576,1077,2694,1709,1004,1177,881,608,1538,1187,636,1768,1464,788,863,727,1366,1030,1725,1073,694,1264,1127,863,703,1832,2485,1215,638,1175,584,1071,158,741,374,1059,620,836,396,1717,620,1028,567,341,554,292,1006,1250,1054,1056,1061,797,2629,1202,665,888,1253
ENSG00000208892,12,9,16,11,7,0,0,0,179,66,46,24,15,17,12,41,1,10,17,5,7,7,21,4,5,14,5,5,6,19,5,0,0,0,4,5,10,1,1,4,13,0,0,0,1,2,5,12,5,8,4,2,0,3,3,4,0,4
ENSG00000169856,0,0,0,0,0,0,0,0,0,0,0,1,0,75,3,1,0,2,0,1,0,7,4,10,0,20,9,1854,0,39,0,3,0,521,0,13,61,0,0,820,7,3,0,8,38,13,15,8,0,1,10,0,0,0,5,22,23,5
ENSG00000198074,4,67,2,0,26,1849,0,0,0,94,0,0,0,0,5,0,316.8,0,12,6,0,9,33,123,959.71,15,18,0,27,0,0,0,4,0,0,0,6,2,0,14,0,1,0,689.93,9,5,13,4,30,100,2,23,3,0,3,349,3,7
Age,83,64,72,52,78,71,84,81,66,70,70,71,66,79,65,68,67,57,49,77,68,85,81,75,77,58,73,84,70,87,76,65,81,72,57,62,85,66,79,69,73,87,100,66,64,84,85,56,54,94,77,74,55,75,90,62,65,73
Grade,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ERIHC_bi2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRIHC_bi2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0
FIGOstage,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,0,2,2,0,0,1,2,2,0,0,0,2,0,2,1,0
