Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000189423,208.48,221.24,49.73,82.72,231.22,138,217.24,27.35,57.38,183.54,59.98,96.34,75.54,27.26,447.49,205.51,96.35,71.81,89.35,94.61,49.79,419.7,298.85,112.97,211.99,786.89,157.74,412.4,903.41,413.59,282.12,136.08,178.42,69.17,274.07,637.89,163.7,80.15,66.34,98.29,291.54,220.79,71.55,91.94,154.25,362.85,1525.23,335.88,291.94,1522.28,343.05,761.84,48.07,372.62,165.22,617.45,486.41
ENSG00000197826,9,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,0,0,0,0,0,4,123,0,0,0,0,0,0,22,0,0,1,0,3,53,0,0,0,0,0,11,0,0,15,12,121,31,0,66,42,11,0,16,10,0,4
ENSG00000197888,483.63,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,25.82,2,27,0,58.31,0,1,0,0,0,0,0,0,6,0,3,0,3,0,6,1,263.25,124.8,0,36.71,6,106.78,0,4
ENSG00000198074,4,67,2,0,26,1849,0,0,0,94,0,0,0,0,5,0,316.8,0,12,6,0,9,33,123,959.71,15,18,0,27,0,0,0,4,0,0,0,6,2,0,14,0,1,0,689.93,9,5,13,4,30,2,23,3,0,3,349,3,7
ENSG00000198881,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,4,1,0,10,9,3,2,0,0,0,0,20,0,0,39,0,0,0,12,1,0,0,1,7,3,6,0,5,0,5,3,2,6,9,11
ENSG00000199347,10.99,55,236.73,46.99,10,7,6.97,27,413,20,67.95,16.98,44,53,10.89,130.98,121.95,0,78.98,17.95,10.98,2.98,18,1.82,0.5,12.13,0,2.92,10.91,8,4,8,2.99,3.93,40.95,48,9,2,2,0,46.96,8,13.86,0,0,0.99,4.68,4.94,0,0.98,0.91,0,2.87,1.97,4.82,0,0
ENSG00000199568,79.45,379.65,784.92,116.28,34,32,21.05,142,620.61,304.79,463.46,56.31,366.99,241.21,60.36,590.67,259.18,6,303.4,66.72,81.97,97.28,80.41,18,80.39,91.01,9,59,89.86,126.94,17.14,147.47,23,129.32,121.4,258.95,49.46,15,41,22.81,257.64,8.5,51.91,8,6,13.42,42.04,45.35,47,7,29,11,26,38.81,44.47,87.42,38.16
ENSG00000200320,113.73,152.39,169.92,88.48,45.55,11.84,27.51,21.78,374.26,50.77,180.25,94.27,184.1,189.51,112.82,256.62,96.37,62.8,83.34,69.49,62.54,38.25,99.8,82.37,82.83,53.39,8.93,94.25,157.71,90.62,35.86,49.51,53.78,12.64,39.24,52.08,75.55,20.88,70.35,22.55,172.55,24.9,25.22,23.65,6.23,19.62,58.25,67.71,27.47,26.83,34.27,15.03,51.4,30.07,131.46,33.55,62.83
ENSG00000201098,11,104,1206.99,56,20,2,6,34,297,61,210,18,181,115,28,140,85,23,65,12,5,64,12,25,46,24,1,65,26,37,3,39,3,732,55,58,22,1,25,9,127,4,82,14,26,53,105,128,77,11,14,11,20,5,2,47,6
ENSG00000206811,13.75,39.42,39.25,0,0.55,8.52,5.73,0,132.71,23.59,31.98,6.67,34.24,34.32,8.92,28.34,24.31,6.88,6.76,5.17,6.8,2.64,8.89,10.13,15.75,4.8,3.96,16.39,9.69,6.97,3.96,5,0.49,1.5,1.75,0.15,15.83,1.91,6.54,2.97,18.48,2.98,3.89,0.29,0,0.66,8.84,12.8,25.18,4.58,3.99,3.4,19.4,11.54,13.79,2.81,4.11
