Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,26,27,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T07_2_060,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000108298,2.566273112,0.405201018,1.736173805,2.213598152,1.696779262,0.878873504,1.167766822,0.566531053,0.704411954,2.036322707,2.918010107,1.337538545,2.026943054,1.429459146,0.832913203,1.443528626,0.736302775,1.946278036,1.433211007,3.039945598,0.882625365,0.903260602,1.82528051,1.607672556,0.568406983,0.512129064,0.727861087,1.858109296,2.734140765,0.309528555,0.859176232,1.383498845,0.57309681,3.069022523,0.395821365,1.097419423,0.159463484,1.100233319,0.873245712,1.130248209,1.085225874,0.791642729,0.495245688,2.160134129,0.532764301,0.82353355,0.622808972,0.251365326,0.648134035,0.306714659,1.522317712,0.88167802,0.812277966,1.026134059,0.990491377,0.624684902,2.33834754,0.756938012,0.884501296,0.808526105,0.85353906
ENSG00000109063,0.677540778,1.174404015,1.445420326,5.465495609,1.626097867,2.710163112,1.264742785,9.892095358,0,0.767879548,1.761606023,3.703889586,0.496863237,0.225846926,1.716436637,2.664993726,0.406524467,2.122961104,2.25846926,1.671267252,2.25846926,2.032622334,0.587202008,3.252195734,1.309912171,1.987452949,0.316185696,1.084065245,0.496863237,0.677540778,0.361355082,1.2195734,0.406524467,0.722710163,0.406524467,1.355081556,0,0.993726474,0.225846926,0.632371393,1.309912171,0.767879548,0.632371393,2.710163112,0.271016311,0.316185696,0,0.271016311,0.361355082,0.180677541,1.580928482,1.400250941,0.677540778,2.484316186,1.716436637,0.496863237,1.716436637,1.671267252,1.897114178,3.161856964,1.490589711
ENSG00000111218,0.6328125,0,0,0,0,0,0,0,0,0,0.2109375,0.3515625,0,0,0.2109375,0.140625,0,0,0.0703125,0.0703125,0,0,0,0,0.0703125,0,0.421875,0.140625,0,0,4.8515625,1.40625,0,0.0703125,0,0.421875,0,0.0703125,0,0,0.3515625,0,0,16.171875,0.0703125,0,0,3.4453125,0,2.25,0.703125,0,0.28125,0.9140625,0.140625,1.3359375,0,1.8984375,0,0,1.0546875
ENSG00000112038,0.232258065,0,0,0,0,4.722580645,0,0,0,0,0,0,0,0.15483871,0,0.077419355,1.083870968,0.15483871,0.232258065,0,0.077419355,0,0,0.232258065,0.309677419,1.703225806,12.15483871,0.15483871,0,0.077419355,0.541935484,0.232258065,3.019354839,0,0,0.077419355,0,0,1.238709677,0,0,0,0,0.15483871,0.464516129,0,0.077419355,9.909677419,0.15483871,2.24516129,0.309677419,0.077419355,0.541935484,0.387096774,0.077419355,1.238709677,0,0.464516129,0.15483871,0.232258065,0.309677419
ENSG00000113360,1.466359254,0.616223014,1.038775938,1.775728359,1.252567596,1.798365123,0.905470551,1.300356319,0.455250472,1.40599455,1.775728359,1.265143576,1.898972962,1.43114651,1.156990149,1.003563194,0.63131419,1.036260742,1.564451897,1.539299937,0.983441626,1.546845525,1.202263676,0.980926431,0.882833787,0.664011738,0.792286732,1.926640117,2.019702368,0.505554391,0.475372039,1.333053867,0.61873821,1.245022008,0.646405366,1.883881786,0.130790191,1.2500524,0.41249214,0.910500943,0.689163697,0.948228883,0.671557326,1.871305806,1.260113184,0.913016139,1.416055334,0.865227416,0.729406833,0.616223014,1.335569063,0.877803396,1.131838189,1.187172501,1.041291134,1.209809264,1.109201425,0.890379375,0.882833787,0.83756026,0.701739677
ENSG00000114391,2.361156332,0.584377747,2.163531939,2.579031273,1.471078087,0.930613118,0.906967776,0.989726474,0.871499762,2.35440052,2.421958641,1.422554466,2.499650481,1.638284437,1.129909575,1.705825668,0.819142218,2.107779599,1.724404151,3.173542738,0.822520124,0.731316661,1.732865806,2.226006311,0.364813854,0.444194646,0.678959117,2.048700022,2.871220147,0.56917717,1.10457528,1.51662915,0.999860192,1.8409588,0.842787561,0.756650956,0.550649356,1.253203146,1.175561976,1.089391592,0.677270164,0.947502648,0.425616163,2.018281978,1.043772971,0.940746836,0.716116084,0.283727219,0.50661835,0.439127787,1.612950141,0.982970662,0.690781788,1.040395065,0.900211964,0.717805037,1.602816423,0.712738178,0.891767198,0.390148149,0.716116084
ENSG00000123243,1.710269426,0.154627099,0.084342054,0.224912144,0.632565404,0,0.121827411,0.871534557,0.089027724,0.393596251,0.234283483,1.119875049,0.740335806,0.482623975,0.210855135,0.00468567,0.154627099,0.243654822,0.445138618,0.224912144,0.14057009,0.042171027,0.318625537,0.065599375,0.27176884,2.314720812,2.263178446,0.646622413,0.074970715,2.324092152,0.00468567,0.089027724,1.79461148,0.121827411,0.098399063,0.163998438,0.955876611,0.351425225,0.014057009,0.679422101,2.792659118,0.060913706,0.295197189,0.182741117,0.089027724,0.070285045,0.993361968,1.274502148,0.337368216,3.064427958,1.349472862,0.267083171,0.084342054,4.062475595,2.005466615,1.611870363,0.852791878,3.622022647,0.393596251,0.295197189,0.398281921
ENSG00000125844,2.454347931,0.490174304,2.444787794,2.817633142,1.687798754,2.056298585,1.278451065,1.208922795,2.14755444,1.106368596,3.085316981,0.969919367,0.889961856,0.811742552,0.461493892,1.998068659,0.461493892,1.545265801,0.957751919,2.185794988,0.811742552,1.876394187,1.603495727,1.610448554,1.208053691,0.445850031,1.297571339,1.865095843,1.830331708,0.361547004,0.351117764,1.811211434,0.647482014,1.402732847,0.49451982,1.699097098,0.777847521,1.011636329,0.493650717,0.746559799,0.521462025,0.732654145,0.96557385,3.570276665,0.892569166,1.210661001,0.859543238,0.460624789,0.810004346,0.532760369,0.799575105,0.982086814,1.042054947,0.980348607,0.876056202,0.689198976,0.678769736,0.872579789,0.874317995,1.195886244,1.216744725
ENSG00000126838,0.051769883,0,0.168252119,0.116482236,0,0,0,0,0,0,0,0.207079531,0.194137061,0,0.207079531,0.038827412,0,0.038827412,0,0,0.051769883,0.025884941,2.290817317,0.258978839,0.103539766,0.220022002,4.623827089,0.122824047,0.871545978,0.051769883,0.064712354,6.406523005,5.629974762,0.012942471,0,0.025884941,0.168252119,0.103539766,0.245906944,0.427101534,0.103539766,0,0.025884941,0.336504239,0.051769883,0.129424707,0.465928946,0.297676827,0.232964473,5.607584288,0.958260532,0.142367178,0.168252119,4.207726655,0.232964473,1.98019802,1.113052482,0.090597295,0.142367178,0.414547337,0.323561768
ENSG00000127554,1.383948003,0.712831374,1.435653253,2.308332725,0.67637479,3.663185569,1.135762799,1.717665961,0.987657927,1.557642591,1.657722924,0.810808442,2.922135398,3.772380048,0.619236106,1.834397137,0.59802819,1.423559483,0.623267363,2.487460746,1.261783393,0.77014533,1.17379683,1.642649529,1.038136274,0.262908055,0.689344921,1.4284671,1.450376105,0.350544074,0.502680202,1.011319652,0.362112028,1.835098225,0.227853648,0.830088366,0,0.318644563,0.442386621,1.110348353,0.523537574,0.605039071,0.708975389,2.37248229,1.291404367,1.753421456,0.906506974,0.76418608,0.380866136,0.598554006,1.149258745,1.927992405,2.16163003,1.413919521,1.618461988,0.978368509,1.561323304,1.395340685,1.042693347,0.458511648,1.565354561
